Year,Province,NDVI_V,NDVI_VI,NDVI_VII,NDVI_VIII,NDVI_IX,NDVI_X,NDVI_XI
2015,Ninh_Binh,0.559651536,0.41219741,0.248091229,0.617617622,0.592876669,0.416236499,0.325722486
2016,Ninh_Binh,0.562968398,0.448059231,0.420222293,0.468125401,0.513648601,0.432410905,0.321769779
2017,Ninh_Binh,0.570317208,0.295926665,0.247352426,0.516950468,0.5234783,0.37902163,0.218447504
2018,Ninh_Binh,0.621316424,0.437969694,0.300676403,0.524670392,0.583757687,0.422904982,0.342142342
2019,Ninh_Binh,0.465358368,0.352715205,0.371757365,0.499127722,0.610340741,0.480172275,0.3742202
2020,Ninh_Binh,0.527709917,0.406491554,0.386591972,0.582340614,0.405396521,0.414998008,0.336057754
2000,Thai_Binh,0.413185044,0.363021892,0.256011515,0.452778666,0.602672701,0.405548751,0.213233097
2001,Thai_Binh,0.524192558,0.468467228,0.286831703,0.419414882,0.680262821,0.369956543,0.306959637
2002,Thai_Binh,0.511055728,0.253611078,0.337090608,0.618405541,0.680879601,0.338898796,0.159666142
2003,Thai_Binh,0.503849306,0.304070649,0.399418853,0.510111664,0.501020681,0.315430275,0.302423827
2004,Thai_Binh,0.650321406,0.38980317,0.236855382,0.484000678,0.587806397,0.470647592,0.27900757
2005,Thai_Binh,0.701934772,0.360549994,0.350177286,0.551538816,0.619957127,0.339478299,0.294569122
2006,Thai_Binh,0.556929362,0.325533949,0.358240521,0.635703541,0.65761258,0.354817846,0.307664695
2007,Thai_Binh,0.592364691,0.299414209,0.412197885,0.503696751,0.553321447,0.405036267,0.321661672
2008,Thai_Binh,0.660698383,0.39074795,0.294091823,0.563528532,0.52588182,0.368932962,0.302444927
2009,Thai_Binh,0.504183961,0.312541349,0.385638311,0.591573514,0.632323473,0.363694898,0.353005091
2010,Thai_Binh,0.484837943,0.262184511,0.375771616,0.570059597,0.568812009,0.382616285,0.33385377
2011,Thai_Binh,0.752004757,0.482297507,0.325207974,0.585438526,0.590338144,0.41847179,0.378473346
2012,Thai_Binh,0.486194238,0.430956216,0.405733163,0.616073375,0.588718467,0.385816488,0.190229665
2013,Thai_Binh,0.531033282,0.342288605,0.329688871,0.583900155,0.532153244,0.417521629,0.241747143
2014,Thai_Binh,0.553932227,0.439724276,0.348853299,0.474194678,0.551166467,0.304494566,0.298967357
2015,Thai_Binh,0.596617128,0.379984493,0.213481072,0.629498252,0.578694135,0.41799624,0.283821207
2016,Thai_Binh,0.5616757,0.443372415,0.392215713,0.549390553,0.552312623,0.416134861,0.272695062
2017,Thai_Binh,0.531912116,0.244556522,0.210481041,0.543476402,0.569815344,0.423339852,0.201407789
2018,Thai_Binh,0.629265369,0.37860141,0.220306723,0.544499748,0.605569859,0.374994426,0.311865768
2019,Thai_Binh,0.466217296,0.268493152,0.328975405,0.507530721,0.662997565,0.427451514,0.380942051
2020,Thai_Binh,0.545561242,0.358040849,0.310073457,0.591568709,0.488580167,0.448109374,0.342088147
2000,Ha_Nam,0.467599583,0.349792459,0.387107388,0.490890711,0.571859084,0.389562527,0.277790369
2001,Ha_Nam,0.545488586,0.414721998,0.398875058,0.520370095,0.598238438,0.351148086,0.33798616
2002,Ha_Nam,0.551341279,0.306428087,0.40955905,0.612803734,0.642606189,0.390420678,0.184063767
2003,Ha_Nam,0.57535168,0.350086435,0.495507499,0.572141043,0.45552093,0.335546796,0.380283605
2004,Ha_Nam,0.6900973,0.384795089,0.287732378,0.585206697,0.567857917,0.39961466,0.373345379
2005,Ha_Nam,0.701504594,0.242043367,0.437287389,0.564873797,0.54825206,0.335979984,0.360303663
2006,Ha_Nam,0.579720863,0.335172753,0.474748066,0.676820628,0.573034495,0.352264316,0.417983711
2007,Ha_Nam,0.570742683,0.370246378,0.554573981,0.532666312,0.56929705,0.397989828,0.417916499
2008,Ha_Nam,0.670586674,0.382548458,0.375478073,0.636542183,0.49685362,0.320768116,0.245010445
2009,Ha_Nam,0.485934992,0.301697025,0.397385729,0.61626882,0.583865919,0.408116306,0.443207993
2010,Ha_Nam,0.530328712,0.308329283,0.41716515,0.636130502,0.549885881,0.397868746,0.395454697
2011,Ha_Nam,0.734554188,0.521770395,0.396233926,0.653183021,0.621840078,0.385542715,0.39877287
2012,Ha_Nam,0.613491194,0.384756956,0.475268913,0.662904624,0.544873744,0.350978525,0.251982096
2013,Ha_Nam,0.516189209,0.356014138,0.432166537,0.613791497,0.496073014,0.423771081,0.254342846
2014,Ha_Nam,0.519713717,0.375345294,0.470635026,0.476334239,0.521531678,0.315044127,0.379750543
2015,Ha_Nam,0.620943935,0.421194622,0.291232698,0.643289064,0.570860219,0.402687796,0.418597404
2016,Ha_Nam,0.533239325,0.425415029,0.487579837,0.613456021,0.485561488,0.406488009,0.317519738
2017,Ha_Nam,0.527565997,0.240746432,0.291047417,0.569955836,0.474705017,0.370589069,0.236864013
2018,Ha_Nam,0.657615408,0.39236694,0.334390947,0.639322633,0.540503711,0.339665226,0.38496734
2019,Ha_Nam,0.472887345,0.338714809,0.409583752,0.528388147,0.576720183,0.437625637,0.399688174
2020,Ha_Nam,0.535337026,0.376277159,0.449699563,0.530411757,0.393872005,0.434742568,0.375637279
