Year,Province,Pre_NDVI_X,Pre_NDVI_XI,Pre_NDVI_XII,NDVI_I,NDVI_II,NDVI_III,NDVI_IV,NDVI_V
2014,Ninh_Binh,0.406894833,0.252197313,0.359205386,0.232800264,0.036008342,0.089981199,0.259945958,0.529567988
2015,Ninh_Binh,0.30677281,0.372297915,0.27440646,0.218713751,0.076773218,0.33151658,0.639515571,0.559651536
2016,Ninh_Binh,0.416236499,0.325722486,0.373563119,0.178267187,0.192027876,0.099421167,0.439608217,0.562968398
2017,Ninh_Binh,0.432410905,0.321769779,0.244615636,0.185497053,0.167049545,0.212551209,0.565905196,0.570317208
2018,Ninh_Binh,0.37902163,0.218447504,0.232893097,0.117081544,0.1441221,0.310583536,0.415310131,0.621316424
2019,Ninh_Binh,0.422904982,0.342142342,0.276914075,0.079802742,0.234557932,0.25091903,0.567896276,0.465358368
2020,Ninh_Binh,0.480172275,0.3742202,0.326104571,0.179592428,0.170533967,0.194448221,0.48966411,0.527709917
2001,Thai_Binh,0.405548751,0.213233097,0.216105545,0.103202906,0.134578159,0.258627413,0.603850946,0.524192558
2002,Thai_Binh,0.369956543,0.306959637,0.218225794,0.150148974,0.104945901,0.275541858,0.528194879,0.511055728
2003,Thai_Binh,0.338898796,0.159666142,0.232613736,0.12683891,0.265634811,0.333924121,0.562187787,0.503849306
2004,Thai_Binh,0.315430275,0.302423827,0.178773305,0.090853442,0.124710864,0.230417644,0.398131418,0.650321406
2005,Thai_Binh,0.470647592,0.27900757,0.250917049,0.060364819,0.120467598,0.143143891,0.507270789,0.701934772
2006,Thai_Binh,0.339478299,0.294569122,0.257660694,0.193038914,0.114673395,0.102470719,0.637043917,0.556929362
2007,Thai_Binh,0.354817846,0.307664695,0.293484635,0.133458545,0.156553161,0.240197817,0.538197277,0.592364691
2008,Thai_Binh,0.405036267,0.321661672,0.184349012,0.154974362,0.101139102,0.139250046,0.473019064,0.660698383
2009,Thai_Binh,0.368932962,0.302444927,0.257139633,0.183612148,0.090514372,0.272474321,0.560901083,0.504183961
2010,Thai_Binh,0.363694898,0.353005091,0.20608446,0.116673051,0.157878236,0.170167621,0.259284083,0.484837943
2011,Thai_Binh,0.382616285,0.33385377,0.216980849,0.035992697,0.086904385,0.116546209,0.441844892,0.752004757
2012,Thai_Binh,0.41847179,0.378473346,0.288296827,0.037419496,0.035986594,0.136558417,0.452495533,0.486194238
2013,Thai_Binh,0.385816488,0.190229665,0.13217084,0.110257452,0.082017555,0.243931705,0.341063141,0.531033282
2014,Thai_Binh,0.417521629,0.241747143,0.391855383,0.239186988,0.030437871,0.071267936,0.184514679,0.553932227
2015,Thai_Binh,0.304494566,0.298967357,0.2963808,0.267282642,0.042451968,0.211274568,0.611923946,0.596617128
2016,Thai_Binh,0.41799624,0.283821207,0.363836307,0.144284457,0.165661013,0.05771869,0.365368462,0.5616757
2017,Thai_Binh,0.416134861,0.272695062,0.25384788,0.135143122,0.185582932,0.229891525,0.507245687,0.531912116
2018,Thai_Binh,0.423339852,0.201407789,0.276509226,0.101316517,0.074959045,0.344318987,0.417619801,0.629265369
2019,Thai_Binh,0.374994426,0.311865768,0.313139701,0.111107026,0.114606681,0.272094514,0.449757738,0.466217296
2020,Thai_Binh,0.427451514,0.380942051,0.301739664,0.17164422,0.135834358,0.187292402,0.360702731,0.545561242
2001,Ha_Nam,0.389562527,0.277790369,0.29045078,0.140902436,0.099214502,0.19683754,0.572558747,0.545488586
2002,Ha_Nam,0.351148086,0.33798616,0.196956594,0.175492176,0.071655993,0.308960475,0.598268976,0.551341279
2003,Ha_Nam,0.390420678,0.184063767,0.300405405,0.18841768,0.222509476,0.259119048,0.541942448,0.57535168
2004,Ha_Nam,0.335546796,0.380283605,0.18439337,0.115674746,0.089952625,0.247037038,0.486595714,0.6900973
2005,Ha_Nam,0.39961466,0.373345379,0.327602128,0.048994384,0.092947925,0.13343699,0.565098641,0.701504594
2006,Ha_Nam,0.335979984,0.360303663,0.387241641,0.222788212,0.096720222,0.139094415,0.562639314,0.579720863
2007,Ha_Nam,0.352264316,0.417983711,0.344261057,0.140730256,0.104690827,0.218511348,0.521394035,0.570742683
2008,Ha_Nam,0.397989828,0.417916499,0.226955532,0.208464841,0.084102074,0.121013221,0.456733123,0.670586674
2009,Ha_Nam,0.320768116,0.245010445,0.261351892,0.19395339,0.084397685,0.272190063,0.552723068,0.485934992
2010,Ha_Nam,0.408116306,0.443207993,0.323038991,0.199148288,0.177537149,0.178419918,0.37006865,0.530328712
2011,Ha_Nam,0.397868746,0.395454697,0.359375075,0.037724629,0.067119154,0.066504305,0.453062012,0.734554188
2012,Ha_Nam,0.385542715,0.39877287,0.26417353,0.059466023,0.041743387,0.159710996,0.457129881,0.613491194
2013,Ha_Nam,0.350978525,0.251982096,0.098544643,0.100674932,0.100226964,0.292489258,0.487950753,0.516189209
2014,Ha_Nam,0.423771081,0.254342846,0.405461549,0.263674156,0.041048463,0.096656141,0.237682209,0.519713717
2015,Ha_Nam,0.315044127,0.379750543,0.330256945,0.272726281,0.048019096,0.21734142,0.660751474,0.620943935
2016,Ha_Nam,0.402687796,0.418597404,0.381362485,0.162556846,0.176155938,0.080254818,0.384141845,0.533239325
2017,Ha_Nam,0.406488009,0.317519738,0.277343614,0.150189315,0.158796349,0.212271705,0.507866649,0.527565997
2018,Ha_Nam,0.370589069,0.236864013,0.286939311,0.129916491,0.124941949,0.397990099,0.349811292,0.657615408
2019,Ha_Nam,0.339665226,0.38496734,0.315171378,0.071645893,0.165625447,0.251158205,0.514850516,0.472887345
2020,Ha_Nam,0.437625637,0.399688174,0.366152779,0.193707977,0.137159071,0.212806096,0.450336402,0.535337026
