Year,Province,CropYield
2018,Quang_Binh,52.43093922651934
2019,Quang_Binh,49.98084291187739
2020,Quang_Binh,51.39097744360902
2021,Quang_Binh,54.56238361266294
2022,Quang_Binh,51.0377358490566
1995,Quang_Tri,28.60520094562648
1996,Quang_Tri,32.638888888888886
1997,Quang_Tri,34.58715596330275
1998,Quang_Tri,28.266978922716625
1999,Quang_Tri,39.21700223713646
2000,Quang_Tri,41.67755991285403
2001,Quang_Tri,39.40298507462687
2002,Quang_Tri,43.29087048832272
2003,Quang_Tri,42.78481012658228
2004,Quang_Tri,45.987124463519315
2005,Quang_Tri,44.543429844098
2006,Quang_Tri,46.514161220043576
2007,Quang_Tri,45.32908704883227
2008,Quang_Tri,45.38461538461539
2009,Quang_Tri,44.28274428274428
2010,Quang_Tri,44.28274428274428
2011,Quang_Tri,46.329896907216494
2012,Quang_Tri,49.10204081632653
2013,Quang_Tri,44.73053892215569
2014,Quang_Tri,51.53386454183266
2015,Quang_Tri,50.18867924528302
2016,Quang_Tri,52.83132530120482
2017,Quang_Tri,48.389662027833005
2018,Quang_Tri,54.33925049309664
2019,Quang_Tri,54.118811881188115
2020,Quang_Tri,54.51676528599605
2021,Quang_Tri,55.63745019920319
2022,Quang_Tri,46.65346534653465
1995,Hue,34.350515463917525
1996,Hue,37.75757575757576
1997,Hue,39.24151696606786
1998,Hue,37.670682730923694
1999,Hue,42.35294117647059
2000,Hue,38.30409356725146
2001,Hue,39.689922480620154
2002,Hue,40.63583815028902
2003,Hue,45.60928433268859
2004,Hue,48.07017543859649
2005,Hue,46.53465346534654
2006,Hue,50.218687872763425
2007,Hue,51.00196463654224
2008,Hue,51.75141242937853
2009,Hue,53.220338983050844
2010,Hue,53.109869646182496
2011,Hue,55.90654205607477
2012,Hue,55.57620817843866
2013,Hue,53.05400372439478
2014,Hue,59.050279329608934
2015,Hue,58.69485294117647
2016,Hue,59.5045871559633
2017,Hue,59.63570127504554
2018,Hue,61.133455210237656
2019,Hue,59.61678832116789
2020,Hue,58.96869244935544
2021,Hue,63.54359925788497
